the_geom,station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2023,ALL DAYS,36900,-33.866180,151.203201
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2023,AM PEAK,9493,-33.866180,151.203201
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2023,OFF PEAK,17454,-33.866180,151.203201
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2023,PM PEAK,11251,-33.866180,151.203201
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2023,WEEKDAYS,38198,-33.866180,151.203201
0101000020E61000007730629F80E6624082397AFCDEEE40C0,01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2023,WEEKENDS,33458,-33.866180,151.203201
0101000020E6100000CE8B135F6DE662408E93C2BCC7F140C0,02384,Cleveland Street,Redfern,EAST,UNCLASSIFIED,2023,ALL DAYS,17773,-33.888908,151.200851
0101000020E6100000CE8B135F6DE662408E93C2BCC7F140C0,02384,Cleveland Street,Redfern,EAST,UNCLASSIFIED,2023,AM PEAK,4638,-33.888908,151.200851
0101000020E6100000CE8B135F6DE662408E93C2BCC7F140C0,02384,Cleveland Street,Redfern,EAST,UNCLASSIFIED,2023,OFF PEAK,9160,-33.888908,151.200851
0101000020E6100000CE8B135F6DE662408E93C2BCC7F140C0,02384,Cleveland Street,Redfern,EAST,UNCLASSIFIED,2023,PM PEAK,4244,-33.888908,151.200851
0101000020E6100000CE8B135F6DE662408E93C2BCC7F140C0,02384,Cleveland Street,Redfern,EAST,UNCLASSIFIED,2023,WEEKDAYS,18042,-33.888908,151.200851
0101000020E6100000CE8B135F6DE662408E93C2BCC7F140C0,02384,Cleveland Street,Redfern,EAST,UNCLASSIFIED,2023,WEEKENDS,17196,-33.888908,151.200851
0101000020E6100000566133C005E76240DA54DD239BF140C0,03018,Eastern Distributor,Moore Park,NORTH,UNCLASSIFIED,2023,ALL DAYS,10021,-33.887547,151.219452
0101000020E6100000566133C005E76240DA54DD239BF140C0,03018,Eastern Distributor,Moore Park,NORTH,UNCLASSIFIED,2023,AM PEAK,3394,-33.887547,151.219452
0101000020E6100000566133C005E76240DA54DD239BF140C0,03018,Eastern Distributor,Moore Park,NORTH,UNCLASSIFIED,2023,OFF PEAK,4447,-33.887547,151.219452
0101000020E6100000566133C005E76240DA54DD239BF140C0,03018,Eastern Distributor,Moore Park,NORTH,UNCLASSIFIED,2023,PM PEAK,2472,-33.887547,151.219452
0101000020E6100000566133C005E76240DA54DD239BF140C0,03018,Eastern Distributor,Moore Park,NORTH,UNCLASSIFIED,2023,WEEKDAYS,10313,-33.887547,151.219452
0101000020E6100000566133C005E76240DA54DD239BF140C0,03018,Eastern Distributor,Moore Park,NORTH,UNCLASSIFIED,2023,WEEKENDS,9110,-33.887547,151.219452
0101000020E61000004B04AA7F10E76240A8E0F08288F240C0,03022,Cleveland Street,Moore Park,EAST,UNCLASSIFIED,2023,ALL DAYS,11308,-33.894791,151.220764
0101000020E61000004B04AA7F10E76240A8E0F08288F240C0,03022,Cleveland Street,Moore Park,EAST,UNCLASSIFIED,2023,AM PEAK,2736,-33.894791,151.220764
0101000020E61000004B04AA7F10E76240A8E0F08288F240C0,03022,Cleveland Street,Moore Park,EAST,UNCLASSIFIED,2023,OFF PEAK,5670,-33.894791,151.220764
0101000020E61000004B04AA7F10E76240A8E0F08288F240C0,03022,Cleveland Street,Moore Park,EAST,UNCLASSIFIED,2023,PM PEAK,2831,-33.894791,151.220764
0101000020E61000004B04AA7F10E76240A8E0F08288F240C0,03022,Cleveland Street,Moore Park,EAST,UNCLASSIFIED,2023,WEEKDAYS,11237,-33.894791,151.220764
0101000020E61000004B04AA7F10E76240A8E0F08288F240C0,03022,Cleveland Street,Moore Park,EAST,UNCLASSIFIED,2023,WEEKENDS,11433,-33.894791,151.220764
0101000020E610000060915F3F44F66240F1660DDE577B40C0,05201,Pacific Highway,Charlestown,SOUTH,UNCLASSIFIED,2023,ALL DAYS,12513,-32.963619,151.695831
0101000020E610000060915F3F44F66240F1660DDE577B40C0,05201,Pacific Highway,Charlestown,SOUTH,UNCLASSIFIED,2023,AM PEAK,2550,-32.963619,151.695831
